age,education,hispanic,household_income,race_ethnicity,extra_covid_worn_mask,state,trump_biden,binary,household_income_grouped,education_grouped,age_group
38,High school graduate,not hispanic,"$50,000 to $54,999",white,No,OR,Joe Biden,0,$50k to $75k,Completed HS,36-55
20,Completed some high school,not hispanic,"Less than $14,999",black/african american/negro,Yes,TX,Joe Biden,0,$25k or less,Completed some HS,18-35
62,Other post high school vocational training,mexican,"Less than $14,999",white,Yes,CA,Donald Trump,1,$25k or less,Participated in Higher Education,56-75
36,3rd Grade or less,mexican,"$20,000 to $24,999",white,Yes,CA,Joe Biden,0,$25k or less,Less than HS,36-55
44,Completed some high school,mexican,"$60,000 to $64,999","other race, nec",Yes,CA,Joe Biden,0,$50k to $75k,Completed some HS,36-55
45,"Completed some college, but no degree",mexican,"$60,000 to $64,999",white,Yes,IL,Joe Biden,0,$50k to $75k,Participated in Higher Education,36-55
30,"College Degree (such as B.A., B.S.)",not hispanic,"$95,000 to $99,999",white,Yes,CA,Joe Biden,0,$75k to $100k,Completed 1 Higher Education Degree,18-35
29,Other post high school vocational training,mexican,"$250,000 and above",white,Yes,TX,Joe Biden,0,$150k or more,Participated in Higher Education,18-35
30,Associate Degree,not hispanic,"$45,000 to $49,999",white,Yes,MI,Joe Biden,0,$25k to $50k,Completed 1 Higher Education Degree,18-35
40,"College Degree (such as B.A., B.S.)",not hispanic,"$90,000 to $94,999",white,Yes,VA,Joe Biden,0,$75k to $100k,Completed 1 Higher Education Degree,36-55
39,Completed some high school,not hispanic,"$55,000 to $59,999",white,No,NY,Joe Biden,0,$50k to $75k,Completed some HS,36-55
63,Other post high school vocational training,not hispanic,"$70,000 to $74,999",white,Yes,IL,Joe Biden,0,$50k to $75k,Participated in Higher Education,56-75
47,Completed some high school,not hispanic,"$35,000 to $39,999",white,Yes,TN,Donald Trump,1,$25k to $50k,Completed some HS,36-55
55,"College Degree (such as B.A., B.S.)",not hispanic,"$100,000 to $124,999",asian or pacific islander,Yes,MD,Joe Biden,0,$100k to $150k,Completed 1 Higher Education Degree,36-55
46,High school graduate,not hispanic,"$15,000 to $19,999",american indian or alaska native,Yes,NY,Joe Biden,0,$25k or less,Completed HS,36-55
33,"Completed some college, but no degree",not hispanic,"$40,000 to $44,999",black/african american/negro,Yes,MI,Joe Biden,0,$25k to $50k,Participated in Higher Education,18-35
29,"Completed some college, but no degree",not hispanic,"Less than $14,999",white,Yes,NH,Joe Biden,0,$25k or less,Participated in Higher Education,18-35
34,Completed some high school,not hispanic,"$35,000 to $39,999",white,Yes,WY,Donald Trump,1,$25k to $50k,Completed some HS,18-35
40,Associate Degree,cuban,"$100,000 to $124,999",black/african american/negro,Yes,FL,Joe Biden,0,$100k to $150k,Completed 1 Higher Education Degree,36-55
27,"Completed some graduate, but no degree",mexican,"$75,000 to $79,999",white,Yes,GA,Joe Biden,0,$75k to $100k,Completed 1 Higher Education Degree or more,18-35
36,Completed some high school,not hispanic,"$35,000 to $39,999",black/african american/negro,Yes,TX,Joe Biden,0,$25k to $50k,Completed some HS,36-55
29,"College Degree (such as B.A., B.S.)",not hispanic,"$50,000 to $54,999",white,Yes,AZ,Joe Biden,0,$50k to $75k,Completed 1 Higher Education Degree,18-35
38,High school graduate,not hispanic,"Less than $14,999","other race, nec",Yes,VA,Donald Trump,1,$25k or less,Completed HS,36-55
61,Middle School - Grades 4 - 8,not hispanic,"Less than $14,999",white,Yes,VA,Donald Trump,1,$25k or less,Less than HS,56-75
49,"Completed some college, but no degree",mexican,"$75,000 to $79,999",white,Yes,TX,Donald Trump,1,$75k to $100k,Participated in Higher Education,36-55
45,Completed some high school,mexican,"Less than $14,999",white,Yes,OH,Joe Biden,0,$25k or less,Completed some HS,36-55
22,Completed some high school,not hispanic,"$20,000 to $24,999",white,Yes,OK,Joe Biden,0,$25k or less,Completed some HS,18-35
21,High school graduate,not hispanic,"$15,000 to $19,999",black/african american/negro,Yes,AL,Joe Biden,0,$25k or less,Completed HS,18-35
60,Masters degree,not hispanic,"$70,000 to $74,999",white,Yes,KY,Donald Trump,1,$50k to $75k,Completed 1 Higher Education Degree or more,56-75
23,Completed some high school,not hispanic,"Less than $14,999",white,No,WV,Donald Trump,1,$25k or less,Completed some HS,18-35
44,Associate Degree,mexican,"$60,000 to $64,999",white,Yes,CA,Donald Trump,1,$50k to $75k,Completed 1 Higher Education Degree,36-55
38,"College Degree (such as B.A., B.S.)",not hispanic,"$100,000 to $124,999",asian or pacific islander,Yes,CA,Joe Biden,0,$100k to $150k,Completed 1 Higher Education Degree,36-55
28,"College Degree (such as B.A., B.S.)",not hispanic,"$250,000 and above",asian or pacific islander,Yes,NY,Joe Biden,0,$150k or more,Completed 1 Higher Education Degree,18-35
37,Other post high school vocational training,not hispanic,"$45,000 to $49,999",black/african american/negro,Yes,OH,Donald Trump,1,$25k to $50k,Participated in Higher Education,36-55
56,Completed some high school,not hispanic,"Less than $14,999",white,Yes,NY,Donald Trump,1,$25k or less,Completed some HS,56-75
36,Other post high school vocational training,other,"$45,000 to $49,999",white,Yes,TX,Donald Trump,1,$25k to $50k,Participated in Higher Education,36-55
57,"Completed some college, but no degree",not hispanic,"$20,000 to $24,999",white,No,MO,Joe Biden,0,$25k or less,Participated in Higher Education,56-75
63,Other post high school vocational training,not hispanic,"$30,000 to $34,999",white,Yes,PA,Donald Trump,1,$25k to $50k,Participated in Higher Education,56-75
47,"Completed some college, but no degree",not hispanic,"$20,000 to $24,999",white,Yes,IL,Joe Biden,0,$25k or less,Participated in Higher Education,36-55
28,"Completed some college, but no degree",not hispanic,"Less than $14,999",white,Yes,IA,Joe Biden,0,$25k or less,Participated in Higher Education,18-35
49,Completed some high school,mexican,"Less than $14,999","other race, nec",Yes,TX,Donald Trump,1,$25k or less,Completed some HS,36-55
33,High school graduate,mexican,"Less than $14,999","other race, nec",Yes,NM,Joe Biden,0,$25k or less,Completed HS,18-35
35,Associate Degree,not hispanic,"$50,000 to $54,999",black/african american/negro,Yes,NV,Joe Biden,0,$50k to $75k,Completed 1 Higher Education Degree,18-35
52,"College Degree (such as B.A., B.S.)",not hispanic,"$90,000 to $94,999",white,Yes,GA,Donald Trump,1,$75k to $100k,Completed 1 Higher Education Degree,36-55
38,"College Degree (such as B.A., B.S.)",not hispanic,"$75,000 to $79,999",white,Yes,MA,Donald Trump,1,$75k to $100k,Completed 1 Higher Education Degree,36-55
69,Masters degree,not hispanic,"$35,000 to $39,999",white,Yes,NY,Joe Biden,0,$25k to $50k,Completed 1 Higher Education Degree or more,56-75
24,Other post high school vocational training,not hispanic,"$60,000 to $64,999",white,Yes,TX,Donald Trump,1,$50k to $75k,Participated in Higher Education,18-35
66,Other post high school vocational training,not hispanic,"$20,000 to $24,999",white,Yes,WA,Donald Trump,1,$25k or less,Participated in Higher Education,56-75
28,"Completed some college, but no degree",not hispanic,"Less than $14,999",white,No,AZ,Joe Biden,0,$25k or less,Participated in Higher Education,18-35
58,"Completed some college, but no degree",not hispanic,"$60,000 to $64,999",white,Yes,LA,Donald Trump,1,$50k to $75k,Participated in Higher Education,56-75
35,"College Degree (such as B.A., B.S.)",not hispanic,"$75,000 to $79,999",white,No,AZ,Donald Trump,1,$75k to $100k,Completed 1 Higher Education Degree,18-35
64,Other post high school vocational training,not hispanic,"$25,000 to $29,999",white,Yes,NY,Donald Trump,1,$25k to $50k,Participated in Higher Education,56-75
39,"Completed some college, but no degree",not hispanic,"$20,000 to $24,999",white,No,CO,Donald Trump,1,$25k or less,Participated in Higher Education,36-55
51,"Completed some college, but no degree",not hispanic,"$35,000 to $39,999",black/african american/negro,Yes,AL,Joe Biden,0,$25k to $50k,Participated in Higher Education,36-55
63,Associate Degree,not hispanic,"$35,000 to $39,999",black/african american/negro,Yes,NC,Joe Biden,0,$25k to $50k,Completed 1 Higher Education Degree,56-75
54,"College Degree (such as B.A., B.S.)",not hispanic,"$55,000 to $59,999",white,Yes,NY,Joe Biden,0,$50k to $75k,Completed 1 Higher Education Degree,36-55
24,"College Degree (such as B.A., B.S.)",other,"$45,000 to $49,999",white,Yes,FL,Joe Biden,0,$25k to $50k,Completed 1 Higher Education Degree,18-35
54,Other post high school vocational training,not hispanic,"$75,000 to $79,999",white,Yes,MI,Donald Trump,1,$75k to $100k,Participated in Higher Education,36-55
31,Other post high school vocational training,not hispanic,"$40,000 to $44,999","other race, nec",Yes,FL,Donald Trump,1,$25k to $50k,Participated in Higher Education,18-35
37,Completed some high school,not hispanic,"Less than $14,999",black/african american/negro,No,CA,Joe Biden,0,$25k or less,Completed some HS,36-55
67,"Completed some college, but no degree",not hispanic,"$35,000 to $39,999",white,Yes,MI,Joe Biden,0,$25k to $50k,Participated in Higher Education,56-75
29,Completed some high school,not hispanic,"$45,000 to $49,999",white,Yes,PA,Joe Biden,0,$25k to $50k,Completed some HS,18-35
64,Associate Degree,not hispanic,"$25,000 to $29,999",white,Yes,MT,Donald Trump,1,$25k to $50k,Completed 1 Higher Education Degree,56-75
70,"Completed some graduate, but no degree",not hispanic,"$25,000 to $29,999",white,Yes,NV,Joe Biden,0,$25k to $50k,Completed 1 Higher Education Degree or more,56-75
45,Completed some high school,not hispanic,"$45,000 to $49,999",white,Yes,PA,Joe Biden,0,$25k to $50k,Completed some HS,36-55
46,Completed some high school,not hispanic,"$15,000 to $19,999",white,Yes,VA,Donald Trump,1,$25k or less,Completed some HS,36-55
91,Completed some high school,mexican,"$15,000 to $19,999",white,Yes,TX,Donald Trump,1,$25k or less,Completed some HS,76 or Older
18,Completed some high school,not hispanic,"$125,000 to $149,999",asian or pacific islander,Yes,WA,Joe Biden,0,$100k to $150k,Completed some HS,18-35
35,"Completed some college, but no degree",not hispanic,"Less than $14,999",white,Yes,AL,Donald Trump,1,$25k or less,Participated in Higher Education,18-35
